# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.97176965782503,2.8343190972096233,-90.73712157621472,0,3.0,0.1109529359342495,0.0,0.0,0.0
 0.12682215513860018,1.9714592833285531,2.8101953052009145,-90.73712157621472,0.38046646541580054,3.0,0.1109529359342495,0.0,2.9279687269527055,0.0
 0.17899317673446602,1.9712152017677123,2.786264502494866,-90.58436645652885,0.5369795302033981,3.0,0.11351354533943385,0.0,3.896343520502024,0.0
 0.21878008887856754,1.9710373145454982,2.762525914034036,-90.4293429791954,0.6563402666357027,3.0000000000000013,0.1161394714478779,0.0,4.719385130677467,0.0
 0.25211704368467563,1.9709255230649019,2.738978764760986,-90.2720130503814,0.756351131054027,3.0,0.11883247703784998,0.0,5.470076406153636,0.0
 0.28130770295281915,1.970879728728914,2.7156222796182736,-90.11233791383866,0.8439231088584574,2.9999999999999982,0.1215943706601949,0.0,6.178800435865748,0.0
 0.3075360579444528,1.970899832940525,2.69245568354846,-89.95027814258431,0.9226081738333585,3.0,0.12442700764061723,0.0,6.86184467868084,0.0
 0.3315069461710569,1.970985737102726,2.669478201494104,-89.78579363076334,0.9945208385131707,3.0,0.1273322908672633,0.0,7.5292140358832675,0.0
 0.3536805813259211,1.9711373426185075,2.646689058397765,-89.61884358572875,1.0610417439777633,2.9999999999999973,0.13031217150546637,0.0,8.187626318870445,0.0
 0.3743773081639022,1.9713545508908603,2.624087479202003,-89.44938652035563,1.1231319244917066,3.0000000000000053,0.13336864994719452,0.0,8.84189290785995,0.0
 0.393830865961695,1.9716372633227752,2.6016726888493777,-89.2773802456307,1.181492597885085,3.0,0.13650377650234605,0.0,9.495636520983023,0.0
 0.41221808852446146,1.971985381317243,2.5794439122824486,-89.10278186354424,1.2366542655733843,2.999999999999994,0.13971965206490108,0.0,10.151697894556925,0.0
 0.42967665605319705,1.9723988062772544,2.5574003744437754,-88.9255477603208,1.2890299681595911,3.000000000000003,0.14301842884294577,0.0,10.81238169367416,0.0
 0.44631629802959266,1.9728774396058,2.5355413002759173,-88.74563360002593,1.338948894088778,2.9999999999999964,0.14640231094870537,0.0,11.479613012960206,0.0
 0.46222617941963373,1.9734211827058707,2.513865914721434,-88.56299431858615,1.386678538258901,2.9999999999999964,0.14987355510181188,0.0,12.155041184540613,0.0
 0.4774799492339621,1.974029936980457,2.4923734427228856,-88.3775841182735,1.4324398477018863,3.000000000000007,0.15343447098342078,0.0,12.840111035644036,0.0
 0.492139297199925,1.9747036038325503,2.4710631092228317,-88.1893564626804,1.4764178915997748,2.999999999999985,0.15708742175071672,0.0,13.536113231801757,0.0
 0.506256524733635,1.9754420846651404,2.4499341391638305,-87.99826407226497,1.5187695742009049,3.0,0.1608348244513765,0.0,14.244220735839793,0.0
 0.5198764450783887,1.9762452808812188,2.4289857574884435,-87.80425892046976,1.559629335235166,3.000000000000008,0.16467915029592461,0.0,14.965515774175707,0.0
 0.5330378150515136,1.977113093883776,2.4082171891392283,-87.6072922305272,1.5991134451545408,3.0000000000000084,0.16862292481941626,0.0,15.701010161359063,0.0
 0.5457744323468603,1.9780454250758026,2.387627659058747,-87.4073144729516,1.6373232970405807,2.9999999999999827,0.1726687280196509,0.0,16.45166086401881,0.0
 0.5581159892760799,1.9790421758602894,2.367216392189557,-87.20427536381811,1.6743479678282394,3.0,0.17681919435525997,0.0,17.218382092933517,0.0
 0.5700887459980004,1.9801032476402272,2.3469826134742187,-86.99812386387434,1.710266237994001,3.0,0.18107701246630703,0.0,18.002054814033087,0.0
 0.5817160678498344,1.981228541818607,2.3269255478552924,-86.78880817855722,1.745148203549503,2.9999999999999902,0.18544492511328142,0.0,18.803534309864588,0.0
 0.5930188589135922,1.9824179597984193,2.3070444202753366,-86.57627575899262,1.779056576740776,2.9999999999999805,0.1899257286199406,0.0,19.6236562486277,0.0
 0.6040159153349762,1.9836714029826543,2.2873384556769114,-86.36047330403261,1.8120477460049285,3.00000000000003,0.19452227220146612,0.0,20.463241588698583,0.0
 0.6147242158574101,1.9849887727743039,2.267806879002576,-86.14134676343767,1.8441726475722302,3.00000000000001,0.1992374573581505,0.0,21.323100567169703,0.0
 0.625159162710233,1.9863699705763578,2.2484489151948908,-85.91884134228185,1.875477488130699,3.0000000000000213,0.20407423683866835,0.0,22.204035959057975,0.0
 0.6353347828570133,1.9878148977918075,2.229263789196415,-85.69290150663703,1.90600434857104,3.000000000000011,0.20903561342423627,0.0,23.106845737444583,0.0
 0.6452638973088303,1.9893234558236432,2.210250725949708,-85.46347099068946,1.9357916919264913,3.000000000000022,0.21412463854244174,0.0,24.03232525236091,0.0
 0.6549582644963756,1.9908955460748559,2.1914089503973293,-85.23049280532257,1.9648747934891273,3.0,0.21934441066235172,0.0,24.98126899857195,0.0
 0.6644287024078802,1.9925310699484364,2.172737687481839,-84.99390924832097,1.9932861072236412,3.0000000000000115,0.22469807334526218,0.0,25.954472042774785,0.0
 0.6736851932218233,1.9942299288473753,2.1542361621457964,-84.7536619162763,2.021055579665471,3.000000000000036,0.23018881295621976,0.0,26.952731156490785,0.0
 0.6827369734126713,1.9959920241746631,2.135903599331761,-84.50969171830471,2.048210920238015,3.0000000000000613,0.23581985630830446,0.0,27.9768456896684,0.0
